spectrum_id,compound_name,CAS_number,adhesive_class,spectral_type,wavenumber_range,measurement_conditions,instrument,baseline_correction_method,source_database,source_doi,Q_SNR,Q_res,Q_base,Q_peak,Q_total,qc_disposition,data_quality_notes
SPEC-00188,Isobutyl methacrylate,97-86-9,Acrylic/PSA,Raman,200-3500 cm-1,"25C, N2 purge",WITec alpha300,ALS,NIST WebBook,10.5215/d37a13c8,0.745,0.924,0.699,0.892,0.81,ACCEPT,
SPEC-00944,Methylene diphenyl diisocyanate,101-68-8,Polyurethane,Raman,200-3500 cm-1,"Room temperature, ambient atmosphere",Bruker Senterra II,Rubberband,NIST WebBook,10.1699/9df7ab68,0.889,0.802,0.668,0.95,0.835,ACCEPT,
SPEC-00084,Methyl methacrylate,80-62-6,Acrylic/PSA,FTIR,650-4000 cm-1,"Ambient, KBr pellet",JASCO FT/IR-6600,ALS,SpectraBase,10.2480/4b719f17,0.866,0.694,0.858,0.715,0.791,ACCEPT,
SPEC-00154,2-Ethylhexyl acrylate,103-11-7,Acrylic/PSA,Raman,200-3500 cm-1,"25C, N2 purge",WITec alpha300,SNIP,PubChem,10.1424/3f2cf457,0.835,0.759,0.842,0.7,0.79,ACCEPT,
SPEC-00307,Natural rubber,9006-04-6,Rubber-based,Raman,200-3500 cm-1,"25C, N2 purge",Thermo DXR3,Rubberband,PubChem,10.8855/6e4c0000,0.96,0.797,0.72,0.818,0.843,ACCEPT,
SPEC-00241,Polyisoprene,9003-31-0,Rubber-based,FTIR,650-4000 cm-1,"25C, N2 purge",Bruker Vertex 70,Rubberband,PubChem,10.3692/930f98ba,0.666,0.884,0.56,0.737,0.714,FLAG,
SPEC-00925,Polycaprolactone diol,36890-68-3,Polyurethane,Raman,200-3500 cm-1,"23C, dry air",Horiba LabRAM HR,ALS,PubChem,10.7958/3e1a3f1a,0.698,0.985,0.867,0.751,0.814,ACCEPT,
SPEC-00518,Epichlorohydrin,106-89-8,Epoxy,IR,650-4000 cm-1,"Room temperature, ambient atmosphere",PerkinElmer Spectrum Two,Rubberband,KnowItAll,10.7488/47ba7033,0.827,0.73,0.553,0.874,0.757,ACCEPT,
SPEC-00885,Hexamethylene diisocyanate,822-06-0,Polyurethane,IR,650-4000 cm-1,"23C, dry air",Thermo Nicolet iS50,ALS,PubChem,10.4105/119fdcd6,0.911,0.602,0.948,0.884,0.836,ACCEPT,
SPEC-00874,Polycaprolactone diol,36890-68-3,Polyurethane,FTIR,650-4000 cm-1,"23C, dry air",Thermo Nicolet iS50,Polynomial (3rd order),Open SPECY,10.9228/3d8d821a,0.863,0.883,0.632,0.994,0.848,ACCEPT,
SPEC-00822,Octyl cyanoacrylate,16493-40-6,Cyanoacrylate,Raman,200-3500 cm-1,"Ambient, 785nm laser",Thermo DXR3,Rubberband,KnowItAll,10.3238/fc38dfc5,0.757,0.713,0.803,0.792,0.762,ACCEPT,
SPEC-00348,Polybutadiene,9003-17-2,Rubber-based,Raman,200-3500 cm-1,"23C, dry air",Thermo DXR3,SNIP,NIST WebBook,10.1152/33ab1a77,0.693,0.701,0.866,0.682,0.727,FLAG,
SPEC-00673,Octamethylcyclotetrasiloxane,556-67-2,Silicone,IR,650-4000 cm-1,"25C, N2 purge",Bruker Vertex 70,Rubberband,Open SPECY,10.2941/b5dcfe2d,0.834,0.909,0.968,0.931,0.899,ACCEPT,
SPEC-00832,Methyl cyanoacrylate,137-05-3,Cyanoacrylate,Raman,200-3500 cm-1,"25C, N2 purge",Bruker Senterra II,Rubberband,Open SPECY,10.4482/17c8a96b,0.896,0.679,0.632,0.979,0.806,ACCEPT,
SPEC-00047,Hydroxypropyl methacrylate,27813-02-1,Acrylic/PSA,IR,650-4000 cm-1,"Room temperature, ambient atmosphere",Bruker Vertex 70,SNIP,Open SPECY,10.7381/e251fb04,0.793,0.817,0.737,0.683,0.766,ACCEPT,
SPEC-00280,Styrene-butadiene rubber,9003-55-8,Rubber-based,IR,650-4000 cm-1,"Ambient, KBr pellet",Agilent Cary 630,Polynomial (3rd order),KnowItAll,10.1023/f94f3b10,0.732,0.739,0.928,0.951,0.817,ACCEPT,
SPEC-00600,Cycloaliphatic epoxy,2386-87-0,Epoxy,Raman,200-3500 cm-1,"25C, N2 purge",WITec alpha300,SNIP,NIST WebBook,10.2075/4a357819,0.939,0.96,0.753,0.747,0.869,ACCEPT,
SPEC-00836,2-Methoxyethyl cyanoacrylate,27816-23-5,Cyanoacrylate,Raman,200-3500 cm-1,"23C, dry air",WITec alpha300,Polynomial (3rd order),KnowItAll,10.8036/9406fa0a,0.995,0.905,0.969,0.789,0.926,ACCEPT,
SPEC-00265,Styrene-butadiene rubber,9003-55-8,Rubber-based,IR,650-4000 cm-1,"25C, N2 purge",Bruker Vertex 70,Rubberband,Open SPECY,10.6152/ea93b061,0.699,0.649,0.879,0.741,0.731,FLAG,
SPEC-00526,Cycloaliphatic epoxy,2386-87-0,Epoxy,FTIR,650-4000 cm-1,"23C, dry air",Bruker Vertex 70,ALS,PubChem,10.9529/da16090a,0.947,0.949,0.7,0.956,0.9,ACCEPT,
SPEC-00561,Novolac epoxy,28064-14-4,Epoxy,Raman,200-3500 cm-1,"25C, N2 purge",Horiba LabRAM HR,Polynomial (3rd order),SpectraBase,10.2816/272e41ac,0.695,0.863,0.955,0.826,0.815,ACCEPT,
SPEC-00617,Bisphenol A diglycidyl ether,1675-54-3,Epoxy,Raman,200-3500 cm-1,"25C, N2 purge",Horiba LabRAM HR,Rubberband,NIST WebBook,10.3243/84d91ab3,0.793,0.966,0.737,0.822,0.831,ACCEPT,
SPEC-00405,Hydrogenated rosin,65997-06-0,Hot-melt,FTIR,650-4000 cm-1,"25C, N2 purge",Thermo Nicolet iS50,ALS,SDBS,10.3639/6e1cb78f,0.706,0.933,0.56,0.617,0.716,FLAG,
SPEC-00484,Polyamide resin,63428-84-2,Hot-melt,Raman,200-3500 cm-1,"25C, N2 purge",Bruker Senterra II,SNIP,KnowItAll,10.8245/bec6f6a3,0.762,0.838,0.561,0.722,0.733,FLAG,
SPEC-00502,Bisphenol F epoxy,2095-03-6,Epoxy,FTIR,650-4000 cm-1,"25C, N2 purge",Bruker Vertex 70,Polynomial (3rd order),SDBS,10.1807/8d651b69,0.832,0.758,0.881,0.823,0.822,ACCEPT,
SPEC-00294,Polybutadiene,9003-17-2,Rubber-based,Raman,200-3500 cm-1,"25C, N2 purge",Bruker Senterra II,ALS,Open SPECY,10.5430/a188e646,0.841,0.794,0.961,0.801,0.845,ACCEPT,
SPEC-00270,Styrene-butadiene rubber,9003-55-8,Rubber-based,FTIR,650-4000 cm-1,"25C, N2 purge",Agilent Cary 630,Rubberband,PubChem,10.9377/332288a0,0.874,0.815,0.619,0.633,0.76,ACCEPT,
SPEC-00514,Cycloaliphatic epoxy,2386-87-0,Epoxy,IR,650-4000 cm-1,"Room temperature, ambient atmosphere",Bruker Vertex 70,ALS,SpectraBase,10.1953/5a71d780,0.951,0.732,0.736,0.684,0.8,ACCEPT,
SPEC-00703,Aminopropyltriethoxysilane,919-30-2,Silicone,Raman,200-3500 cm-1,"Ambient, 785nm laser",Thermo DXR3,SNIP,KnowItAll,10.1606/4f1fc881,0.947,0.895,0.818,0.822,0.883,ACCEPT,
SPEC-00131,Methyl acrylate,96-33-3,Acrylic/PSA,Raman,200-3500 cm-1,"25C, N2 purge",Horiba LabRAM HR,Rubberband,SpectraBase,10.4711/38307ffb,0.758,0.98,0.704,0.906,0.832,ACCEPT,
SPEC-00739,Phenyltrimethoxysilane,2996-92-1,Silicone,Raman,200-3500 cm-1,"23C, dry air",Thermo DXR3,SNIP,Open SPECY,10.1394/3c2ad2e6,0.666,0.945,0.56,0.775,0.736,FLAG,
SPEC-00414,Hydrogenated rosin,65997-06-0,Hot-melt,FTIR,650-4000 cm-1,"Ambient, KBr pellet",JASCO FT/IR-6600,Rubberband,KnowItAll,10.6641/32129fd4,0.819,0.748,0.8,0.702,0.774,ACCEPT,
SPEC-00020,Isobutyl methacrylate,97-86-9,Acrylic/PSA,IR,650-4000 cm-1,"Room temperature, ambient atmosphere",PerkinElmer Spectrum Two,ALS,SDBS,10.2604/0d9946f6,0.737,0.969,0.749,0.945,0.839,ACCEPT,
SPEC-00732,Methyltrimethoxysilane,1185-55-3,Silicone,Raman,200-3500 cm-1,"25C, N2 purge",Horiba LabRAM HR,SNIP,KnowItAll,10.4532/a173947d,0.7,0.836,0.572,0.958,0.76,ACCEPT,
SPEC-00276,Natural rubber,9006-04-6,Rubber-based,IR,650-4000 cm-1,"25C, N2 purge",Bruker Vertex 70,Polynomial (3rd order),PubChem,10.7870/b64f7eb5,0.666,0.746,0.964,0.672,0.747,FLAG,
SPEC-00855,2-Methoxyethyl cyanoacrylate,27816-23-5,Cyanoacrylate,Raman,200-3500 cm-1,"Room temperature, ambient atmosphere",Renishaw inVia,Polynomial (3rd order),SpectraBase,10.4205/98f7d2eb,0.698,0.878,0.681,0.658,0.732,FLAG,
SPEC-00868,Polytetramethylene glycol,25190-06-1,Polyurethane,FTIR,650-4000 cm-1,"23C, dry air",Thermo Nicolet iS50,Rubberband,NIST WebBook,10.4156/b9100909,0.721,0.852,0.671,0.853,0.77,ACCEPT,
SPEC-00742,Methyltrimethoxysilane,1185-55-3,Silicone,Raman,200-3500 cm-1,"25C, N2 purge",Bruker Senterra II,Rubberband,PubChem,10.1849/4813ea13,0.794,0.73,0.719,0.931,0.79,ACCEPT,
SPEC-00953,Polycaprolactone diol,36890-68-3,Polyurethane,Raman,200-3500 cm-1,"Room temperature, ambient atmosphere",Horiba LabRAM HR,Rubberband,NIST WebBook,10.6185/f56df948,0.884,0.847,0.696,0.995,0.859,ACCEPT,
SPEC-00682,Methyltrimethoxysilane,1185-55-3,Silicone,IR,650-4000 cm-1,"Room temperature, ambient atmosphere",Bruker Vertex 70,SNIP,PubChem,10.9108/88c7c6d9,0.714,0.788,0.624,0.787,0.729,FLAG,
SPEC-00340,Nitrile rubber,9003-18-3,Rubber-based,Raman,200-3500 cm-1,"Room temperature, ambient atmosphere",Bruker Senterra II,SNIP,KnowItAll,10.1950/fc1aec47,0.713,0.632,0.7,0.995,0.747,FLAG,
SPEC-00604,Epichlorohydrin,106-89-8,Epoxy,Raman,200-3500 cm-1,"Ambient, 785nm laser",WITec alpha300,SNIP,SDBS,10.9986/18c548ef,0.88,0.915,0.769,0.866,0.864,ACCEPT,
SPEC-00646,Polydimethylsiloxane,63148-62-9,Silicone,IR,650-4000 cm-1,"Ambient, KBr pellet",JASCO FT/IR-6600,ALS,NIST WebBook,10.6591/bab79cf1,0.695,0.747,0.914,0.834,0.78,ACCEPT,
SPEC-00589,Novolac epoxy,28064-14-4,Epoxy,Raman,200-3500 cm-1,"Ambient, 785nm laser",WITec alpha300,Polynomial (3rd order),SpectraBase,10.8757/219ffdcf,0.949,0.635,0.936,0.796,0.837,ACCEPT,
SPEC-00274,Styrene-butadiene rubber,9003-55-8,Rubber-based,FTIR,650-4000 cm-1,"Ambient, KBr pellet",Bruker Vertex 70,SNIP,SDBS,10.2262/6cdf29ae,0.767,0.772,0.786,0.705,0.76,ACCEPT,
SPEC-00880,Polycaprolactone diol,36890-68-3,Polyurethane,IR,650-4000 cm-1,"23C, dry air",PerkinElmer Spectrum Two,Polynomial (3rd order),KnowItAll,10.8915/4a935d1c,0.737,0.816,0.895,0.647,0.77,ACCEPT,
SPEC-00323,Polyisoprene,9003-31-0,Rubber-based,Raman,200-3500 cm-1,"23C, dry air",Bruker Senterra II,SNIP,SpectraBase,10.3201/e9e51c60,0.748,0.797,0.863,0.639,0.761,ACCEPT,
SPEC-00627,Methyltrimethoxysilane,1185-55-3,Silicone,IR,650-4000 cm-1,"23C, dry air",Bruker Vertex 70,Rubberband,Open SPECY,10.9570/7480374d,0.973,0.792,0.69,0.745,0.826,ACCEPT,
SPEC-00903,Toluene diisocyanate,26471-62-5,Polyurethane,IR,650-4000 cm-1,"Room temperature, ambient atmosphere",JASCO FT/IR-6600,Rubberband,SpectraBase,10.5430/898f66f1,0.752,0.856,0.974,0.711,0.814,ACCEPT,
SPEC-00398,Polypropylene wax,9003-07-0,Hot-melt,IR,650-4000 cm-1,"25C, N2 purge",Agilent Cary 630,SNIP,SDBS,10.3717/5e9dfbff,0.826,0.865,0.932,0.923,0.876,ACCEPT,
SPEC-00709,Aminopropyltriethoxysilane,919-30-2,Silicone,Raman,200-3500 cm-1,"25C, N2 purge",Thermo DXR3,Rubberband,KnowItAll,10.6849/eeaeefed,0.756,0.684,0.571,0.607,0.671,FLAG,
SPEC-00206,Isobutyl methacrylate,97-86-9,Acrylic/PSA,Raman,200-3500 cm-1,"Ambient, 785nm laser",WITec alpha300,SNIP,SDBS,10.6222/d97b529e,0.666,0.738,0.839,0.752,0.736,FLAG,
SPEC-00249,Nitrile rubber,9003-18-3,Rubber-based,FTIR,650-4000 cm-1,"Room temperature, ambient atmosphere",Agilent Cary 630,Polynomial (3rd order),SpectraBase,10.5785/a9d106bb,0.944,0.795,0.587,0.612,0.769,ACCEPT,
SPEC-00688,Polydimethylsiloxane,63148-62-9,Silicone,FTIR,650-4000 cm-1,"25C, N2 purge",PerkinElmer Spectrum Two,SNIP,KnowItAll,10.3916/51203112,0.91,0.819,0.821,0.637,0.815,ACCEPT,
SPEC-00069,Acrylic acid,79-10-7,Acrylic/PSA,IR,650-4000 cm-1,"Ambient, KBr pellet",Thermo Nicolet iS50,ALS,NIST WebBook,10.5728/ef6c9f0b,0.939,0.629,0.625,0.723,0.756,ACCEPT,
SPEC-00700,Octamethylcyclotetrasiloxane,556-67-2,Silicone,Raman,200-3500 cm-1,"Room temperature, ambient atmosphere",Thermo DXR3,Polynomial (3rd order),SDBS,10.4127/5ccc4a97,0.701,0.697,0.929,0.943,0.794,ACCEPT,
SPEC-00485,Bisphenol F epoxy,2095-03-6,Epoxy,IR,650-4000 cm-1,"25C, N2 purge",Thermo Nicolet iS50,Rubberband,NIST WebBook,10.1893/bf8fdc28,0.89,0.662,0.878,0.634,0.779,ACCEPT,
SPEC-00806,Methyl cyanoacrylate,137-05-3,Cyanoacrylate,IR,650-4000 cm-1,"Room temperature, ambient atmosphere",Agilent Cary 630,Polynomial (3rd order),Open SPECY,10.1457/3fd5bed2,0.975,0.75,0.657,0.637,0.788,ACCEPT,
SPEC-00463,Polypropylene wax,9003-07-0,Hot-melt,Raman,200-3500 cm-1,"25C, N2 purge",Thermo DXR3,ALS,SDBS,10.7210/28ed678e,0.937,0.817,0.754,0.91,0.865,ACCEPT,
SPEC-00504,Cycloaliphatic epoxy,2386-87-0,Epoxy,FTIR,650-4000 cm-1,"Ambient, KBr pellet",Bruker Vertex 70,SNIP,SDBS,10.3216/43a4aba4,0.825,0.672,0.813,0.958,0.811,ACCEPT,
SPEC-00193,Ethyl acrylate,140-88-5,Acrylic/PSA,Raman,200-3500 cm-1,"Ambient, 785nm laser",WITec alpha300,SNIP,SDBS,10.7121/88b8ad59,0.727,0.653,0.619,0.899,0.721,FLAG,
SPEC-00737,Phenyltrimethoxysilane,2996-92-1,Silicone,Raman,200-3500 cm-1,"Room temperature, ambient atmosphere",WITec alpha300,ALS,Open SPECY,10.9235/ad12b2d6,0.852,0.621,0.807,0.676,0.75,ACCEPT,
SPEC-00730,Polydimethylsiloxane,63148-62-9,Silicone,Raman,200-3500 cm-1,"Room temperature, ambient atmosphere",Thermo DXR3,ALS,SDBS,10.7694/1149f917,0.911,0.978,0.716,0.981,0.903,ACCEPT,
SPEC-00542,Triglycidyl isocyanurate,2451-62-9,Epoxy,IR,650-4000 cm-1,"25C, N2 purge",Thermo Nicolet iS50,Rubberband,Open SPECY,10.8130/0ac41c92,0.896,0.758,0.693,0.753,0.792,ACCEPT,
SPEC-00445,Polyethylene wax,9002-88-4,Hot-melt,Raman,200-3500 cm-1,"23C, dry air",WITec alpha300,Polynomial (3rd order),Open SPECY,10.8126/90759bb2,0.697,0.979,0.793,0.836,0.815,ACCEPT,
SPEC-00262,Natural rubber,9006-04-6,Rubber-based,FTIR,650-4000 cm-1,"Ambient, KBr pellet",Bruker Vertex 70,Rubberband,KnowItAll,10.2975/6605fd13,0.858,0.808,0.75,0.603,0.773,ACCEPT,
SPEC-00427,Ethylene-vinyl acetate,24937-78-8,Hot-melt,Raman,200-3500 cm-1,"Ambient, 785nm laser",Horiba LabRAM HR,Polynomial (3rd order),SDBS,10.1692/b089a970,0.972,0.87,0.849,0.846,0.897,ACCEPT,
SPEC-00255,Nitrile rubber,9003-18-3,Rubber-based,FTIR,650-4000 cm-1,"Ambient, KBr pellet",Thermo Nicolet iS50,Rubberband,NIST WebBook,10.7434/1e6f7c0c,0.953,0.7,0.87,0.931,0.869,ACCEPT,
SPEC-00573,Bisphenol F epoxy,2095-03-6,Epoxy,Raman,200-3500 cm-1,"25C, N2 purge",WITec alpha300,Rubberband,Open SPECY,10.1750/49c51da6,0.974,0.615,0.614,0.862,0.79,ACCEPT,
SPEC-00087,Acrylic acid,79-10-7,Acrylic/PSA,IR,650-4000 cm-1,"25C, N2 purge",Agilent Cary 630,ALS,KnowItAll,10.9955/a107b184,0.811,0.867,0.955,0.786,0.849,ACCEPT,
SPEC-00659,Aminopropyltriethoxysilane,919-30-2,Silicone,FTIR,650-4000 cm-1,"25C, N2 purge",Bruker Vertex 70,ALS,NIST WebBook,10.3302/5aaa83bf,0.964,0.869,0.949,0.759,0.896,ACCEPT,
SPEC-00664,Aminopropyltriethoxysilane,919-30-2,Silicone,FTIR,650-4000 cm-1,"25C, N2 purge",JASCO FT/IR-6600,SNIP,PubChem,10.9763/8cc93306,0.758,0.983,0.713,0.925,0.839,ACCEPT,
SPEC-00197,Methyl methacrylate,80-62-6,Acrylic/PSA,Raman,200-3500 cm-1,"25C, N2 purge",Thermo DXR3,ALS,KnowItAll,10.1049/451d535e,0.846,0.869,0.689,0.609,0.773,ACCEPT,
SPEC-00289,Nitrile rubber,9003-18-3,Rubber-based,Raman,200-3500 cm-1,"Room temperature, ambient atmosphere",Bruker Senterra II,Rubberband,PubChem,10.1357/956a873b,0.871,0.858,0.812,0.704,0.823,ACCEPT,
SPEC-00886,Isophorone diisocyanate,4098-71-9,Polyurethane,IR,650-4000 cm-1,"Room temperature, ambient atmosphere",Agilent Cary 630,SNIP,Open SPECY,10.5354/7ae3208e,0.91,0.96,0.622,0.68,0.819,ACCEPT,
SPEC-00141,Acrylic acid,79-10-7,Acrylic/PSA,Raman,200-3500 cm-1,"Ambient, 785nm laser",Renishaw inVia,ALS,PubChem,10.2816/d6e141b5,0.693,0.695,0.838,0.849,0.754,ACCEPT,
SPEC-00184,Ethyl acrylate,140-88-5,Acrylic/PSA,Raman,200-3500 cm-1,"Room temperature, ambient atmosphere",WITec alpha300,Rubberband,PubChem,10.3252/4649187d,0.873,0.621,0.736,0.887,0.785,ACCEPT,
SPEC-00468,Hydrogenated rosin,65997-06-0,Hot-melt,Raman,200-3500 cm-1,"Room temperature, ambient atmosphere",Bruker Senterra II,ALS,PubChem,10.5355/94a5a3ee,0.91,0.956,0.92,0.918,0.925,ACCEPT,
SPEC-00819,Methyl cyanoacrylate,137-05-3,Cyanoacrylate,Raman,200-3500 cm-1,"23C, dry air",Renishaw inVia,SNIP,Open SPECY,10.4299/8614f615,0.736,0.671,0.662,0.714,0.701,FLAG,
SPEC-00153,Methyl acrylate,96-33-3,Acrylic/PSA,Raman,200-3500 cm-1,"Ambient, 785nm laser",Bruker Senterra II,ALS,KnowItAll,10.7095/3b71b932,0.784,0.827,0.822,0.872,0.82,ACCEPT,
SPEC-00418,Polypropylene wax,9003-07-0,Hot-melt,IR,650-4000 cm-1,"Room temperature, ambient atmosphere",JASCO FT/IR-6600,Polynomial (3rd order),SDBS,10.3776/b175a775,0.718,0.914,0.78,0.879,0.812,ACCEPT,
SPEC-00194,Ethyl acrylate,140-88-5,Acrylic/PSA,Raman,200-3500 cm-1,"23C, dry air",WITec alpha300,ALS,SDBS,10.8319/96fff57f,0.917,0.872,0.818,0.915,0.886,ACCEPT,
SPEC-00533,Cycloaliphatic epoxy,2386-87-0,Epoxy,FTIR,650-4000 cm-1,"Room temperature, ambient atmosphere",Thermo Nicolet iS50,SNIP,Open SPECY,10.1495/80e3f739,0.971,0.732,0.937,0.73,0.856,ACCEPT,
SPEC-00115,Hydroxypropyl methacrylate,27813-02-1,Acrylic/PSA,Raman,200-3500 cm-1,"23C, dry air",Renishaw inVia,Polynomial (3rd order),SpectraBase,10.5186/305c094b,0.995,0.622,0.642,0.978,0.828,ACCEPT,
SPEC-00812,Octyl cyanoacrylate,16493-40-6,Cyanoacrylate,Raman,200-3500 cm-1,"Room temperature, ambient atmosphere",Bruker Senterra II,Rubberband,SDBS,10.4808/d8b58ece,0.674,0.607,0.96,0.78,0.736,FLAG,
SPEC-00802,Ethyl cyanoacrylate,7085-85-0,Cyanoacrylate,IR,650-4000 cm-1,"Room temperature, ambient atmosphere",PerkinElmer Spectrum Two,Rubberband,Open SPECY,10.2117/b86e66ab,0.898,0.655,0.852,0.786,0.806,ACCEPT,
SPEC-00147,Hydroxypropyl methacrylate,27813-02-1,Acrylic/PSA,Raman,200-3500 cm-1,"23C, dry air",WITec alpha300,ALS,SpectraBase,10.5687/09f8383a,0.996,0.817,0.664,0.901,0.866,ACCEPT,
SPEC-00551,Novolac epoxy,28064-14-4,Epoxy,IR,650-4000 cm-1,"Room temperature, ambient atmosphere",Thermo Nicolet iS50,ALS,KnowItAll,10.5209/5bb470f3,0.677,0.914,0.663,0.846,0.767,ACCEPT,
SPEC-00794,Octyl cyanoacrylate,16493-40-6,Cyanoacrylate,IR,650-4000 cm-1,"23C, dry air",JASCO FT/IR-6600,SNIP,SpectraBase,10.4369/2bef439b,0.817,0.628,0.98,0.946,0.828,ACCEPT,
SPEC-00145,Methyl methacrylate,80-62-6,Acrylic/PSA,Raman,200-3500 cm-1,"Ambient, 785nm laser",Renishaw inVia,Rubberband,NIST WebBook,10.8612/07a7100c,0.773,0.735,0.839,0.932,0.809,ACCEPT,
SPEC-00429,Hydrogenated rosin,65997-06-0,Hot-melt,Raman,200-3500 cm-1,"23C, dry air",Renishaw inVia,SNIP,PubChem,10.9232/4959b3cc,0.695,0.81,0.74,0.976,0.789,ACCEPT,
SPEC-00438,Polypropylene wax,9003-07-0,Hot-melt,Raman,200-3500 cm-1,"Ambient, 785nm laser",Bruker Senterra II,Rubberband,Open SPECY,10.5694/c1e5eb6f,0.886,0.795,0.881,0.956,0.876,ACCEPT,
SPEC-00545,Bisphenol F epoxy,2095-03-6,Epoxy,FTIR,650-4000 cm-1,"Ambient, KBr pellet",JASCO FT/IR-6600,ALS,SpectraBase,10.4044/b8deead3,0.809,0.77,0.919,0.754,0.81,ACCEPT,
SPEC-00399,Hydrogenated rosin,65997-06-0,Hot-melt,IR,650-4000 cm-1,"Room temperature, ambient atmosphere",Thermo Nicolet iS50,Rubberband,Open SPECY,10.6878/c739818e,0.982,0.864,0.985,0.894,0.935,ACCEPT,
SPEC-00618,Epichlorohydrin,106-89-8,Epoxy,Raman,200-3500 cm-1,"Ambient, 785nm laser",Thermo DXR3,Rubberband,KnowItAll,10.9095/2dcd7d07,0.844,0.617,0.922,0.934,0.821,ACCEPT,
SPEC-00472,Hydrogenated rosin,65997-06-0,Hot-melt,Raman,200-3500 cm-1,"25C, N2 purge",Bruker Senterra II,Rubberband,Open SPECY,10.6299/df3475e0,0.997,0.73,0.717,0.906,0.856,ACCEPT,
SPEC-00046,Acrylic acid,79-10-7,Acrylic/PSA,FTIR,650-4000 cm-1,"Ambient, KBr pellet",Bruker Vertex 70,Rubberband,SpectraBase,10.4788/436b9ae9,0.732,0.734,0.952,0.632,0.756,ACCEPT,
SPEC-00354,Styrene-butadiene rubber,9003-55-8,Rubber-based,Raman,200-3500 cm-1,"23C, dry air",Horiba LabRAM HR,Polynomial (3rd order),NIST WebBook,10.3793/50722a0b,0.948,0.956,0.554,0.655,0.813,ACCEPT,
SPEC-00486,Epichlorohydrin,106-89-8,Epoxy,FTIR,650-4000 cm-1,"25C, N2 purge",Bruker Vertex 70,Rubberband,SpectraBase,10.9814/e08104ef,0.893,0.645,0.753,0.609,0.746,FLAG,
SPEC-00771,Methyl cyanoacrylate,137-05-3,Cyanoacrylate,FTIR,650-4000 cm-1,"25C, N2 purge",PerkinElmer Spectrum Two,SNIP,PubChem,10.4654/83649faa,0.687,0.95,0.96,0.798,0.83,ACCEPT,
SPEC-00554,Novolac epoxy,28064-14-4,Epoxy,IR,650-4000 cm-1,"25C, N2 purge",Thermo Nicolet iS50,SNIP,PubChem,10.1860/eef69fb2,0.907,0.738,0.839,0.902,0.85,ACCEPT,
SPEC-00538,Bisphenol A diglycidyl ether,1675-54-3,Epoxy,IR,650-4000 cm-1,"Room temperature, ambient atmosphere",JASCO FT/IR-6600,Rubberband,NIST WebBook,10.2007/2eb80531,0.89,0.839,0.919,0.731,0.851,ACCEPT,
